unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
CLV_PCH_PRE_HAB,B1GQ,IT	: 	1.3 	1.8 	1.6 	1.5 	3.7 	1.7 	0.0 	-0.4 	0.8 	0.3 	1.6 	0.9 	-1.8 	-6.0 	1.3 	0.2 	-3.3 	-2.2 	-0.7 	: 
CLV_PCH_PRE_HAB,B1GQ,LT	: 	6.0 	9.1 	8.3 	-0.4 	4.6 	7.4 	7.6 	11.4 	7.8 	9.5 	9.1 	12.4 	3.7 	-13.9 	3.8 	8.5 	5.2 	4.6 	4.0 	: 
CLV_PCH_PRE_HAB,B1GQ,LU	: 	: 	: 	: 	: 	: 	1.0 	2.5 	0.1 	3.0 	1.6 	3.5 	6.6 	-2.6 	-7.1 	3.7 	0.2 	-3.1 	1.7 	1.6 	: 
CLV_PCH_PRE_HAB,B1GQ,LV	: 	3.5 	10.1 	7.5 	3.5 	6.4 	7.8 	8.4 	9.5 	9.5 	11.9 	12.9 	10.8 	-2.6 	-12.9 	-1.7 	8.2 	5.3 	4.1 	3.3 	: 
CLV_PCH_PRE_HAB,B1GQ,MK	: 	: 	: 	: 	: 	: 	-3.5 e	2.2 e	1.9 e	4.4 e	4.5 e	5.0 e	6.3 e	5.3 e	-0.5 e	3.1 e	2.2 e	-0.6 e	2.8 e	: 	: 
CLV_PCH_PRE_HAB,B1GQ,MT	: 	: 	: 	: 	: 	: 	-0.2 	2.2 	1.9 	-0.2 	3.1 	1.5 	3.6 	2.7 	-3.2 	3.0 	1.6 	2.2 	3.0 	3.1 	: 
CLV_PCH_PRE_HAB,B1GQ,NL	: 	3.1 	3.8 	3.9 	4.3 	3.5 	1.4 	-0.5 	-0.2 	1.7 	1.9 	3.4 	3.5 	1.3 	-4.3 	0.9 	1.2 	-1.4 	-0.8 p	0.6 p	: 
CLV_PCH_PRE_HAB,B1GQ,NO	3.6 	4.5 	4.7 	2.0 	1.3 	2.5 	1.6 	0.9 	0.3 	3.3 	1.9 	1.6 	1.9 	-0.9 	-2.9 	-0.6 	-0.3 	1.4 	-0.2 	1.1 	: 
CLV_PCH_PRE_HAB,B1GQ,PL	: 	6.6 e	6.5 e	4.6 e	4.7 e	4.6 e	1.3 e	2.1 e	3.7 e	5.2 e	3.6 e	6.3 e	7.2 e	3.9 e	2.5 e	2.7 e	5.0 e	1.5 e	1.3 e	3.4 e	: 
CLV_PCH_PRE_HAB,B1GQ,PT	: 	3.1 	4.0 	4.3 	3.3 	3.1 	1.2 	0.2 	-1.3 	1.6 	0.6 	1.4 	2.3 	0.1 	-3.1 	1.9 	-1.7 	-3.6 	-0.6 	1.5 e	: 
CLV_PCH_PRE_HAB,B1GQ,RO	: 	4.1 	-4.3 	-1.9 	-0.5 	2.7 	3.5 	10.2 	5.3 	7.4 	5.0 	7.4 	8.7 	8.6 	-4.9 	-0.4 	1.6 	2.8 b	3.4 b	3.3 p	: 
CLV_PCH_PRE_HAB,B1GQ,RS	: 	2.5 	7.5 	2.8 	-11.8 	8.1 	5.2 	7.2 	4.7 	9.3 	5.9 	5.3 	6.3 	5.8 	-2.7 	1.0 	2.2 	-0.5 	3.1 	-1.4 	: 
CLV_PCH_PRE_HAB,B1GQ,SE	3.5 	1.4 	2.8 	4.2 	4.4 	4.6 	1.3 	1.7 	2.0 	3.9 	2.4 	4.1 	2.6 	-1.3 	-6.0 	5.1 	1.9 	-1.0 	0.4 	1.3 	: 
CLV_PCH_PRE_HAB,B1GQ,SI	: 	3.5 	5.3 	3.5 	5.2 	3.9 	2.8 	3.7 	2.8 	4.3 	3.8 	5.3 	6.4 	3.1 b	-8.7 b	0.9 	0.5 	-2.9 	-1.2 	2.9 	: 
CLV_PCH_PRE_HAB,B1GQ,SK	: 	: 	: 	3.9 	-0.3 	1.1 	3.7 	4.5 	5.4 	5.2 	6.3 	8.4 	10.7 	5.5 	-5.7 	4.8 	3.4 	1.4 	1.3 	2.4 	: 
CLV_PCH_PRE_HAB,B1GQ,UK	: 	2.4 	2.8 	3.1 	2.7 	3.4 	2.4 	2.1 	2.9 	2.0 	2.2 	2.0 	1.8 	-1.3 	-4.9 	0.7 	1.1 	0.5 	1.5 	2.1 	: 
